vfdDirAdEc,vfdDiH+AdEc
dvigoryap,dvigoH+yap
zaRmAsARRyacca,zaRmAsAt+Ryat+ca
avayasi WaMSca,avayasi+Wan+ca
dvigorvA,dvigoH+vA
rAtryahassaMvatsarAcca,rAtryahassaMvatsarAt+ca
varzAlluk ca,varzAt+luk+ca
vatsarAntAcCaSCandasi,vatsarAntAt+CaH+Candasi
samparipUrvAt Ka ca,samparipUrvAt+Ka+ca
tadasya brahmacaryam,tat+asya+brahmacaryam
tatra ca dIyate kAryaM Bavavat,tatra+ca+dIyate+kAryam+Bavavat
vyuzwAdiByo'R,vyuzwAdiByaH+aR
tena yaTAkaTAcahastAByAM RayatO,tena+yaTAkaTAcahastAByAm+RayatO
karmavezAdyat,karmavezAt+yat
yogAdyacca,yogAt+yat+ca
karmaRa ukaY,karmaRaH+ukaY
samayastadasya prAptam,samayaH+tat+asya+prAptam
ftoraR,ftoH+aR
kAlAdyat,kAlAt+yat
viSAKA''zAQAdaR manTadaRqayoH,viSAKA''zAQAt+aR+manTadaRqayoH
anupravacanAdiByaSCaH,anupravacanAdiByaH+CaH
samApanAt sapUrvapadAt,samApanAt+sapUrvapadAt
AkAlikaqAdyantavacane,AkAlikaw+Adyantavacane
tena tulyaM kriyA cedvatiH,tena+tulyam+kriyA+cet+vatiH
tatra tasyeva,tatra+tasya+iva
tadarham,tat+arham
upasargAcCandasi DAtvarTe,upasargAt+Candasi+DAtvarTe
tasya BAvastvatalO,tasya+BAvaH+tvatalO
A ca tvAt,A+ca+tvAt
na naYpUrvAttatpuruzAdacaturasaMgatalavaRavawayuDakatarasalaseByaH,na+naYpUrvAt+tatpuruzAt+acaturasaMgatalavaRavawayuDakatarasalaseByaH
pfTvAdiBya imanijvA,pfTvAdiByaH+imanic+vA
stenAdyannalopaSca,stenAt+yat+nalopaH+ca
saKyuryaH,saKyuH+yaH
kapijYAtyorQak,kapijYAtyoH+Qak
patyantapurohitAdiByo yak,patyantapurohitAdiByaH+yak
prARaBfjjAtivayovacanodgAtrAdiByo'Y,prARaBfjjAtivayovacanodgAtrAdiByaH+aY
hAyanAntayuvAdiByo'R,hAyanAntayuvAdiByaH+aR
igantAcca laGupUrvAt,igantAt+ca+laGupUrvAt
yopaDAdgurUpottamAdvuY,yopaDAt+gurUpottamAt+vuY
dvaMdvamanojYAdiByaSca,dvandvamanojYAdiByaH+ca
gotracaraRAcSlAGA'tyAkAratadavetezu,gotracaraRAt+SlAGA'tyAkAratadavetezu
hotrAByaSCaH,hotrAByaH+CaH
brahmaRastvaH,brahmaRaH+tvaH
DAnyAnAM Bavane kzetre KaY,DAnyAnAm+Bavane+kzetre+KaY
vrIhiSAlyorQak,vrIhiSAlyoH+Qak
yavayavakazazwikAdat,yavayavakazazwikAt+yat
yaTAmuKasaMmuKasya darSanaH KaH,yaTAmuKasammuKasya+darSanaH+KaH
tatsarvAdeH paTyaNgakarmapatrapAtraM vyApnoti,tat+sarvAdeH+paTyaNgakarmapatrapAtram+vyApnoti
AprapadaM prApnoti,Aprapadam+prApnoti
anupadasarvAnnAyAnayaM badDABakzayatineyezu,anupadasarvAnnAyAnayam+badDABakzayatineyezu
parovaraparamparaputrapOtramanuBavati,parovaraparamparaputrapOtram+anuBavati
avArapArAtyantAnukAmaM gAmI,avArapArAtyantAnukAmam+gAmI
samAMsamAM vijAyate,samAMsamAm+vijAyate
adyaSvInA'vazwabDe,adyaSvIna+avazwabDe
anugvalaMgAmI,anugu+alaMgAmI
aDvano yatKO,aDvanaH+yatKO
aByamitrAcCa ca,aByamitrAt+Ca+ca
gozWAt KaY BUtapUrve,gozWAt+KaY+BUtapUrve
aSvasyEkAhagamaH,aSvasya+ekAhagamaH
sAptapadInaM saKyam,sAptapadInam+saKyam
hEyaMgavInaM saMjYAyAm,hEyaNgavInam+saMjYAyAm
tena vittaScuYcupcaRapO,tena+vittaH+cuYcupcaRapO
vinaYByAM nAnAYO nasaha,vinaYByAm+nAnAYO+nasaha
samprodaSca kawac,samprodaH+ca+kawac
avAt kuwAracca,avAt+kuwArac+ca
nate nAsikAyAH saMjYAyAM wIwaYnAwajBrAwacaH,nate+nAsikAyAH+saMjYAyAm+wIwaYnAwajBrAwacaH
nerbiqajbirIsacO,neH+biqajbirIsacO
upADiByAM tyakannAsannArUQayoH,upADiByAm+tyakan+AsannArUQayoH
karmaRi Gawo'Wac,karmaRi+GawaH+aWac
tadasya saMjAtaM tArakA''diBya itac,tat+asya+saMjAtam+tArakA''diByaH+itac
puruzahastiByAmaR ca,puruzahastiByAm+aR+ca
yadtadeteByaH parimARe vatup,yattadeteByaH+parimARe+vatup
kimidaMByAM vo GaH,kimidamByAm+vaH+GaH
saMKyAyA avayave tayap,saMKyAyAH+avayave+tayap
dvitriByAM tayasyAyajvA,dvitriByAm+tayasya+ayac+vA
uBAdudAtto nityam,uBAt+udAttaH+nityam
tadasminnaDikamiti daSAntAqqaH,tad+asmin+aDikam+iti+daSAntAt+qaH
SadantaviMSateSca,SadantaviMSateH+ca
saMKyAyA guRasya nimAne mayaw,saMKyAyAH+guRasya+nimAne+mayaw
nAntAdasaMKyA''dermaw,nAntAt+asaNKyAdeH+maw
Taw ca cCandasi,Taw+ca+Candasi
zawkatikatipayacaturAM Tuk,zawkatikatipayacaturAm+Tuk
bahupUgagaRasaMGasya tiTuk,bahupUgagaRasaNGasya+tiTuk
vatoriTuk,vatoH+iTuk
dvestIyaH,dveH+tIyaH
viMSatyAdiByastamaqanyatarasyAm,viMSatyAdiByaH+tamaw+anyatarasyAm
nityaM SatAdimAsArDamAsasaMvatsarAcca,nityam+SatAdimAsArDamAsasaMvatsarAt+ca
zazwyAdeScAsaMKyA''deH,zazwyAdeH+ca+AsaNKyA''deH
matO cCaH sUktasAmnoH,matO+CaH+sUktasAmnoH
aDyAyAnuvAkayorluk,aDyAyAnuvAkayoH+luk
vimuktAdiByo'R,vimuktAdiByaH+aR
gozadAdiByo vun,gozadAdiByaH+vun
DanahiraRyAt kAme,DanahiraRyAt+kAme
udarAwWagAdyUne,udarAt+Wak+AdyUne
aMSaM hArI,aMSam+hArI
tantrAdacirApahfte,tantrAt+acirApahfte
SItozRAByAM kAriRi,SItozRAByAm+kAriRi
pArSvenAnvicCati,pArSvena+anvicCati
ayaHSUladaRqAjinAByAM WakWaYO,ayaHSUladaRqAjinAByAm+WakWaYO
tAvatiTaM grahaRamiti lugvA,tAvatiTam+grahaRam+iti+luk+vA
sa ezAM grAmaRIH,saH+ezAm+grAmaRIH
SfNKalamasya banDanaM karaBe,SfNKalam+asya+banDanam+karaBe
utka unmanAH,utkaH+unmanAH
kAlaprayojanAdroge,kAlaprayojanAt+roge
tadasminnannaM prAye saMjYAyAm,tat+asmin+annam+prAye+saMjYAyAm
kulmAzAdaY,kulmAzAt+aY
SrotriyaMSCando'DIte,Srotriyan+CandaH+aDIte
SrAdDamanena BuktaminiWanO,SrAdDam+anena+Buktam+iniWanO
pUrvAdiniH,pUrvAt+iniH
sapUrvAcca,sapUrvAt+ca
izwAdiByaSca,izwAdiByaH+ca
anupadyanvezwA,anupadI+anvezwA
sAkzAddrazwari saMjYAyAm,sAkzAt+drazwari+saMjYAyAm
'indriyamindraliMgamindradfzwamindrasfzwamindrajuzwamindradattamiti vA,indriyam+indraliNgam+indradfzwam+indrasfzwam+indrajuzwam+indradattam+iti+vA
tadasyAstyasminniti matup,tat+asya+asti+asmin+iti+matup
rasAdiByaSca,rasAdiByaH+ca
prARisTAdAto lajanyatarasyAm,prARisTAt+AtaH+lac+anyatarasyAm
siDmAdiByaSca,siDmAdiByaH+ca
vatsAMsAByAM kAmabale,vatsAMsAByAm+kAmabale
PenAdilac ca,PenAt+ilac+ca
prajYASradDA'rcAvfttiByo RaH,prajYASradDA'rcAvfttiByaH+RaH
tapaHsahasrAByAM vinInI,tapaHsahasrAByAm+vinInI
sikatASarkarAByAM ca,sikatASarkarAByAm+ca
danta unnata urac,dantaH+unnataH+urac
UzasuzimuzkamaDo raH,UzasuzimuzkamaDaH+raH
dyudruByAM maH,dyudruByAm+maH
keSAdvo'nyatarasyAm,keSAt+vaH+anyatarasyAm
gARqyajagAt saMjYAyAm,gARqyajagAt+saMjYAyAm
kARqARqAdIrannIracO,kARqARqAt+IrannIracO
rajaHkfzyAsutiparizado valac,rajaHkfzyAsutiparizadaH+valac
dantaSiKAt saMjYAyAm,dantaSiKAt+saMjYAyAm
ata iniWanO,ataH+iniWanO
vrIhyAdiByaSca,vrIhyAdiByaH+ca
tundAdiBya ilac ca,tundAdiByaH+ilac+ca
ekagopUrvAwWaY nityam,ekagopUrvAt+WaY+nityam
SatasahasrAntAcca nizkAt,SatasahasrAntAt+ca+nizkAt
rUpAdAhatapraSaMsayorap,rUpAt+AhatapraSaMsayoH+yap
asmAyAmeDAsrajo viniH,asmAyAmeDAsrajaH+viniH
bahulaM Candasi,bahulam+Candasi
UrRAyA yus,UrRAyAH+yus
vAco gminiH,vAcaH+gminiH
svAminnESvarye,svAmin+ESvarye
arSaAdiByo'c,arSaAdiByaH+ac
dvaMdvopatApagarhyAt prARisTAdiniH,dvandvopatApagarhyAt+prARisTAt+iniH
vAtAtisArAByAM kuk ca,vAtAtisArAByAm+kuk+ca
vayasi pUraRAt,vayasi+pUraRAt
suKAdiByaSca,suKAdiByaH+ca
DarmaSIlavarRAntAcca,DarmaSIlavarRAntAt+ca
hastAjjAtO,hastAt+jAtO
varRAdbrahmacAriRi,varRAt+brahmacAriRi
puzkarAdiByo deSe,puzkarAdiByaH+deSe
balAdiByo matubanyatarasyAm,balAdiByaH+matup+anyatarasyAm
saMjYAyAM manmAByAm.h,saMjYAyAm+manmAByAm
kaMSaMByAM baBayustitutayasaH,kaMSaMByAm+baBayustitutayasaH
tundivalivawerBaH,tundivalivaweH+BaH
ahaMSuBamoryus,ahaMSuBamoH+yus
prAgdiSo viBaktiH,prAk+diSaH+viBaktiH
kiMsarvanAmabahuByo'dvyAdiByaH,kiMsarvanAmabahuByaH+advyAdiByaH
idama iS,idamaH+iS
etado'S,etadaH+an
sarvasya so'nyatarasyAM di,sarvasya+saH+anyatarasyAm+di
paYcamyAstasil,paYcamyAH+tasil
taseSca,taseH+ca
paryaBiByAM ca,paryaBiByAm+ca
saptamyAstral,saptamyAH+tral
idamo haH,idamaH+haH
kimo't,kimaH+at
itarAByo'pi dfSyante,itarAByaH+api+dfSyante
idamo rhil,idamaH+rhil
dAnIM ca,dAnIm+ca
tado dA ca,tadaH+dA+ca
tayordArhilO ca cCandasi,tayoH+dArhilO+ca+cCandasi
anadyatane rhilanyatarasyAm,anadyatane+rhil+anyatarasyAm
sadyaHparutparAryEzamaHparedyavyadyapUrvedyuranyedyuranyataredyuritaredyuraparedyuraDaredyuruBayedyuruttaredyuH,sadyaH+parutparAryEzamaH+paredyavyadyapUrvedyuH+anyedyuH+anyataredyuH+itaredyuH+aparedyuH+aDaredyuH+uBayedyuH+uttaredyuH
idamasTamuH,idamaH+TamuH
kimaSca,kimaH+ca
TA hetO ca cCandasi,TA+hetO+ca+Candasi
dikSabdeByaH saptamIpaYcamIpraTamAByo digdeSakAlezvastAtiH,dikSabdeByaH+saptamIpaYcamIpraTamAByaH+digdeSakAlezu+astAtiH
dakziRottarAByAmatasuc,dakziRottarAByAm+atasuc
aYcerluk,aYceH+luk
paSca paScA ca cCandasi,paSca+paScA+ca+Candasi
uttarADaradakziRAdAtiH,uttarADaradakziRAt+AtiH
enabanyatarasyAmadUre'paYcamyAH,enap+anyatarasyAm+adUre+apaYcamyAH
dakziRAdAc,dakziRAt+Ac
uttarAcca,uttarAt+ca
pUrvADarAvarARAmasi puraDavaScEzAm,pUrvADarAvarARAm+asi+puraDavaH+ca+ezAm
viBAzA'varasya,viBAzA+avarasya
saMKyAyA viDA'rTe DA,saMKyAyAH+viDA'rTe+DA
ekAdDo DyamuYanyArayAm,ekAt+DaH+DyamuY+anyArayAm
dvitryoSca DamuY,dvitryoH+ca+DamuY
yApye pASap,yApye+pASap
pUraRAdBAge tIyAdan,pUraRAt+BAge+tIyAt+an
prAgekAdaSaByo'cCandasi,prAk+ekAdaSaByaH+acCandasi
zazWAzwamAByAM Ya ca,zazWAzwamAByAm+Ya+ca
ekAdAkiniccAsahAye,ekAt+Akinic+ca+asahAye
tiNaSca,tiNaH+ca
ajAdI guRavacanAdeva,ajAdI+guRavacanAt+eva
tuSCandasi,tuH+Candasi
antikabAQayornedasADO,antikabAQayoH+nedasADO
yuvAlpayoH kananyatarasyAm,yuvAlpayoH+kan+anyatarasyAm
vinmatorluk,vinmatoH+luk
praSaMsAyAM rUpap,praSaMsAyAm+rUpap
viBAzA supo bahuc purastAttu,viBAzA+supaH+bahuc+purastAt+tu
prakAravacane jAtIyar।,prakAravacane+jAtIyar
prAgivAtkaH,prAk+ivAt+kaH
avyayasarvanAmnAmakac prAk weH,avyayasarvanAmnAm+akac+prAk+weH
saMjYAyAM kan,saMjYAyAm+kan
nItO ca tadyuktAt,nItO+ca+tadyuktAt
bahvaco manuzyanAmnazWajvA,bahvacaH+manuzyanAmnaH+Wac+vA
prAcAmupAderaqajvucO ca,prAcAm+upAdeH+aqajvucO+ca
ajinAntasyottarapadalopaSca,ajinAntasya+uttarapadalopaH+ca
WAjAdAvUrDvaM dvitIyAdacaH,WAjAdO+UrDvam+dvitIyAt+acaH
SevalasupariviSAlavaruRAryamAdInAM tftIyAt,SevalasupariviSAlavaruRAryamAdInAm+tftIyAt
saMjYAyAM kan,saMjYAyAm+kan
kuwISamISuRqAByo raH,kuwISamISuRqAByaH+raH
kAsUgoRIByAM zwarac,kAsUgoRIByAm+zwarac
vatsokzASvarzaBeByaSca tanutve,vatsokzASvarzaBeByaH+ca+tanutve
kiMyattado nirdDAraRe dvayorekasya qatarac,kiMyattadaH+nirdDAraRe+dvayoH+ekasya+qatarac
vA bahUnAM jAtiparipraSne qatamac,vA+bahUnAm+jAtiparipraSne+qatamac
ekAcca prAcAm,ekAt+ca+prAcAm
saMjYAyAM ca,saMjYAyAm+ca
lummanuzye,lup+manuzye
jIvikA'rTe cApaRye,jIvikA'rTe+ca+apaRye
devapaTAdiByaSca,devapaTAdiByaH+ca
vasterQaY,vasteH+QaY
SilAyA QaH,SilAyAH+QaH
SAKA''diByo yat,SAKA''diByaH+yat
dravyaM ca Bavye,dravyam+ca+Bavye
kuSAgrAcCaH,kuSAgrAt+CaH
samAsAcca tadvizayAt,samAsAt+ca+tadvizayAt
SarkarA''diByo'R,SarkarA''diByaH+aR
aNgulyAdiByazWak,aNgulyAdiByaH+Wak
ekaSAlAyAzWajanyatarasyAm,ekaSAlAyAH+Wac+anyatarasyAm
karkalohitAdIkak,karkalohitAt+Ikak
pUgAYYyo'grAmaRIpUrvAt,pUgAt+YyaH+agrAmaRIpUrvAt
vrAtacPaYorastriyAm,vrAtacPaYoH+astriyAm
AyuDajIvisaMGAYYyaqvAhIkezvabrAhmaRarAjanyAt,AyuDajIvisaNGAt+Yyaw+vAhIkezu+abrAhmaRarAjanyAt
vfkAwweRyaR,vfkAt+weRyaR
dAmanyAditrigartazazWAcCaH,dAmanyAditrigartazazWAt+CaH
parSvAdiyODeyAdiByAmaRaYO,parSvAdiyODeyAdiByAm+aRaYO
'aBijidvidaBfcCAlAvacCiKAvacCamIvadUrRAvacCrumadaRo yaY,aBijidvidaBfcCAlAvacCiKAvacCamIvadUrRAvacCrumadaRaH+yaY
YyAdayastadrAjAH,YyAdayaH+tadrAjAH
pAdaSatasya saMKyA''dervIpsAyAM vun lopaSca,pAdaSatasya+saMKyA''deH+vIpsAyAm+vun+lopaH+ca
daRqavyavasargayoSca,daRqavyavasargayoH+ca
anatyantagatO ktAt,anatyantagatO+ktAt
bfhatyA AcCAdane,bfhatyAH+AcCAdane
azaqakzASitaNgvalaMkarmAlampuruzADyuttarapadAt KaH,azaqakzASitaNgvalaMkarmAlampuruzADyuttarapadAt+KaH
viBAzA aYceradikstriyAm,viBAzA+aYceH+adikstriyAm
jAtyantAcCa banDuni,jAtyantAt+Ca+banDuni
sTAnAntAdviBAzA sasTAneneti cet,sTAnAntAt+viBAzA+sasTAnen+iti+cet
kimettiNavyayaGAdAmvadravyaprakarze,kimettiNavyayaGAt+Amu+adravyaprakarze
amu ca cCandasi,amu+ca+Candasi
anugAdinazWak,anugAdinaH+Wak
RacaH striyAmaY,RacaH+striyAm+aY
aRinuRaH,aR+inuRaH
visAriRo matsye,visAriRaH+matsye
ekasya sakfcca,ekasya+sakft+ca
viBAzA bahorDA'viprakfzwakAle,viBAzA+bahoH+DA+aviprakfzwakAle
samUhavacca bahuzu,samUhavat+ca+bahuzu
anantAvasaTetihaBezajAYYyaH,anantAvasaTetihaBezajAt+YyaH
devatAntAttAdarTye yat,devatAntAt+tAdarTye+yat
pAdArGAByAM ca,pAdArGAByAm+ca
atiTerYyaH,atiTeH+YyaH
lohitAnmaRO,lohitAt+maRO
varRe cAnitye,varRe+ca+anitye
kAlAcca,kAlAt+ca
vinayAdiByazWak,vinayAdiByaH+Wak
vAco vyAhftArTAyAm,vAcaH+vyAhftArTAyAm
tadyuktAt karmaRo'R,tadyuktAt+karmaRaH+aR
ozaDerajAtO,ozaDeH+ajAtO
prajYAdiByaSca,prajYAdiByaH+ca
mfdastikan,mfdaH+tikan
vfkajyezWAByAM tiltAtilO ca cCandasi,vfkajyezWAByAm+tiltAtilO+ca+Candasi
bahvalpArTAcCas kArakAdanyatarasyAm,bahvalpArTAt+Sas+kArakAt+anyatarasyAm
saMKyEkavacanAcca vIpsAyAm,saNKyEkavacanAt+ca+vIpsAyAm
pratiyoge paYcamyAstasiH,pratiyoge+paYcamyAH+tasiH
apAdAne cAhIyaruhoH,apAdAne+ca+ahIyaruhoH
atigrahAvyaTanakzepezvakartari tftIyAyAH,atigrahAvyaTanakzepezu+akartari+tftIyAyAH
hIyamAnapApayogAcca,hIyamAnapApayogAt+ca
zazWyA vyASraye,zazWyAH+vyASraye
rogAccApanayane,rogAt+ca+apanayane
arurmanaScakzuScetorahorajasAM lopaSca,arurmanaScakzuScetorahorajasAm+lopaH+ca
devamanuzyapuruzamartyeByo dvitIyAsaptamyorbahulam,devamanuzyapuruzamartyeByaH+dvitIyAsaptamyoH+bahulam
avyaktAnukaraRAddvyajavarArDAdanitO qAc,avyaktAnukaraRAt+dvyajavarArDAt+anitO+qAc
kfYo dvitIyatftIyaSambabIjAt kfzO,kfYaH+dvitIyatftIyaSambabIjAt+kfzO
saMKyAyASca guRAntAyAH,saNKyAyAH+ca+guRAntAyAH
samayAcca yApanAyAm,samayAt+ca+yApanAyAm
sapattranizpatrAdativyaTane,sapatranizpatrAt+ativyaTane
nizkulAnnizkozaRe,nizkulAt+nizkozaRe
suKapriyAdAnulomye,suKapriyAt+Anulomye
duHKAt prAtilomye,duHKAt+prAtilomye
SUlAt pAke,SUlAt+pAke
satyAdaSapaTe,satyAt+aSapaTe
madrAt parivApaRe,madrAt+parivApaRe
na pUjanAt,na+pUjanAt
naYastatpuruzAt,naYaH+tatpuruzAt
paTo viBAzA,paTaH+viBAzA
bahuvrIhO saMKyeye qajabahugaRAt,bahuvrIhO+saMKyeye+qac+abahugaRAt
fkpUrapDUHpaTAmAnakze,fkpUrapDUHpaTAm+a+anakze
ac pratyanvavapUrvAt sAmalomnaH,ac+pratyanvavapUrvAt+sAmalomnaH
akzRo'darSanAt,akzRaH+adarSanAt
avasamanDeByastamasaH,avasamanDeByaH+tamasaH
Svaso vasIyaHSreyasaH,SvasaH+vasIyaHSreyasaH
anvavataptAdrahasaH,anvavataptAt+rahasaH
praterurasaH saptamIsTAt,prateH+urasaH+saptamIsTAt
anugavamAyAme,anugavam+AyAme
upasargAdaDvanaH,upasargAt+aDvanaH
tatpuruzasyANguleH saMKyA'vyayAdeH,tatpuruzasya+aNguleH+saNKyA'vyayAdeH
ahassarvEkadeSasaMKyAtapuRyAcca rAtreH,ahassarvEkadeSasaMKyAtapuRyAt+ca+rAtreH
ahno'hna eteByaH,ahnaH+ahnaH+eteByaH
na saMKyA''deH samAhAre,na+saNKyA''deH+samAhAre
uttamEkAByAM ca,uttamEkAByAm+ca
rAjA'hassaKiByazwac,rAjA'hassaKiByaH+wac
goratadDitaluki,gOH+atadDitaluki
agrAKyAyAmurasaH,agrAKyAyAm+urasaH
ano'SmAyassarasAm jAtisaMjYayoH,anaH+aSmAyassarasAm+jAtisaMjYayoH
grAmakOwAByAM ca takzRaH,grAmakOwAByAm+ca+takzRaH
upamAnAdaprARizu,upamAnAt+aprARizu
uttaramfgapUrvAcca sakTnaH,uttaramfgapUrvAt+ca+sakTnaH
nAvo dvigoH,nAvaH+dvigoH
arDAcca,arDAt+ca
dvitriByAmaYjaleH,dvitriByAm+aYjaleH
anasantAnnapuMsakAcCandasi,anasantAt+napuMsakAt+Candasi
brahmaRo jAnapadAKyAyAm,brahmaRaH+jAnapadAKyAyAm
kumahadByAmanyatarasyAm,kumahadByAm+anyatarasyAm
dvaMdvAccudazahAntAt samAhAre,dvandvAt+cudazahAntAt+samAhAre
anaSca,anaH+ca
napuMsakAdanyatarasyAm,napuMsakAt+anyatarasyAm
gireSca senakasya,gireH+ca+senakasya
bahuvrIhO sakTyakzRoH svANgAt zac,bahuvrIhO+sakTyakzRoH+svANgAt+zac
aNgulerdAruRi,aNguleH+dAruRi
dvitriByAM za mUrDnaH,dvitriByAm+za+mUrDnaH
antarbahirByAM ca lomnaH,antarbahirByAm+ca+lomnaH
aYnAsikAyAH saMjYAyAM nasaM cAsTUlAt,ac+nAsikAyAH+saMjYAyAm+nasam+ca+asTUlAt
upasargAcca,upasargAt+ca
naYduHsuByo halisakTyoranyatarasyAm,naYduHsuByaH+halisakTyoH+anyatarasyAm
nityamasic prajAmeDayoH,nityam+asic+prajAmeDayoH
bahuprajASCandasi,bahuprajAH+Candasi
DarmAdanic kevalAt,DarmAt+anic+kevalAt
dvidaRqyAdiByaSca,dvidaRqyAdiByaH+ca
prasamByAM jAnunorjYuH,prasamByAm+jAnunoH+jYuH
UDaso'naN,UDasaH+anaN
DanuzaSca,DanuzaH+ca
jAyAyA niN,jAyAyAH+niN
ganDasyedutpUtisusuraBiByaH,ganDasya+it+utpUtisusuraBiByaH
upamAnAcca,upamAnAt+ca
pAdasya lopo'hastyAdiByaH,pAdasya+lopaH+ahastyAdiByaH
striyAM saMjYAyAm,striyAm+saMjYAyAm
agrAntaSudDaSuBravfzavarAheByaSca,agrAntaSudDaSuBravfzavarAheByaH+ca
kakudasyAvasTAyAM lopaH,kakudasya+avasTAyAm+lopaH
udviByAM kAkudasya,udviByAm+kAkudasya
pUrRAdviBAzA,pUrRAt+viBAzA
uraHpraBftiByaH kap,uraHpraBftiByaH+kap
nadyftaSca,nadyftaH+ca
SezAdviBAzA,SezAt+viBAzA
IyasaSca,IyasaH+ca
ftaSCandasi,ftaH+Candasi
nizpravARiSca,nizpravARiH+ca
ekAco dve praTamasya,ekAcaH+dve+praTamasya
ajAderdvitIyasya,ajAdeH+dvitIyasya
pUrvo'ByAsaH,pUrvaH+aByAsaH
jakzityAdayaH zaw,jakz+ityAdayaH+zaw
tujAdInAM dIrGo'ByAsasya,tujAdInAm+dIrGaH+aByAsasya
liwi DAtoranaByAsasya,liwi+DAtoH+anaByAsasya
zyaNaH samprasAraRaM putrapatyostatpuruze,zyaNaH+samprasAraRam+putrapatyoH+tatpuruze
vacisvapiyajAdInAM kiti,vacisvapiyajAdInAm+kiti
grahijyAvayivyaDivazwivicativfScatipfcCatiBfjjatInAM Niti ca,grahijyAvayivyaDivazwivicativfScatipfcCatiBfjjatInAm+Niti+ca
liwyaByAsasyoBayezAm,liwi+aByAsasya+uBayezAm
svApeScaNi,svApeH+caNi
svapisyamivyeYAM yaNi,svapisyamivyeYAm+yaNi
prateSca,prateH+ca
viBAzA'ByavapUrvasya,viBAzA+aByavapUrvasya
SftaM pAke,Sftam+pAke
liqyaNoSca,liqyaNoH+ca
bahulaM Candasi,bahulam+Candasi
apaspfDeTAmAnfcurAnfhuScicyuzetityAjaSrAtAHSritamASIrASIrttaH,apaspfDeTAm+AnfcuH+AnfhuH+cicyuze+tityAja+SrAtAH+Sritam+ASIr+ASIrttAH
liwi vayo yaH,liwi+vayaH+yaH
vaScAsyAnyatarasyAm kiti,vaH+ca+asya+anyatarasyAm+kiti
jyaSca,jyaH+ca
vyaSca,vyaH+ca
Adeca upadeSe'Siti,At+ecaH+upadeSe+aSiti
na vyo liwi,na+vyaH+liwi
sPuratisPulatyorGaYi,sPuratisPulatyoH+GaYi
krINjInAM RO,krINjInAm+RO
siDyaterapAralOkike,siDyateH+apAralOkike
mInAtiminotidINAM lyapi ca,mInAtiminotidINAm+lyapi+ca
KideSCandasi,KideH+Candasi
apaguro Ramuli,apaguraH+Ramuli
cisPurorRO,cisPuroH+RO
biBeterhetuBaye,biBeteH+hetuBaye
nityaM smayateH,nityam+smayateH
sfjidfSorJalyamakiti,sfjidfSoH+Jali+am+akiti
anudAttasya cardupaDasyAnyatarasyAm,anudAttasya+ca+fdupaDasya+anyatarasyAm
SIrzaMSCandasi,SIrzan+Candasi
Ro naH,RaH+naH
lopo vyorvali,lopaH+vyoH+vali
verapfktasya,veH+apfktasya
halNyAbByo dIrGAt sutisyapfktaM hal,halNyAbByaH+dIrGAt+sutisi+apfktam+hal
eNhrasvAt sambudDeH,eNhrasvAt+sambudDeH
SeSCandasi bahulam,SeH+Candasi+bahulam
ANmANoSca,ANmANoH+ca
padAntAdvA,padAntAt+vA
iko yaRaci,ikaH+yaR+aci
eco'yavAyAvaH,ecaH+ayavAyAvaH
vAnto yi pratyaye,vAntaH+yi+pratyaye
DAtostannimittasyEva,DAtoH+tannimittasya+eva
krayyastadarTe,krayyaH+tadarTe
Bayyapravayye ca cCandasi,Bayyapravayye+ca+Candasi
antAdivacca,antAdivat+ca
zatvatukorasidDaH,zatvatukoH+asidDaH
AdguRaH,At+guRaH
vfdDireci,vfdDiH+eci
AwaSca,AwaH+ca
upasargAdfti DAtO,upasargAt+fti+DAtO
vA supyApiSaleH,vA+supi+ApiSaleH
Oto'mSasoH,A+otaH+amSasoH
omANoSca,omANoH+ca
usyapadAntAt,usi+apadAntAt
ato guRe,ataH+guRe
avyaktAnukaraRasyAta itO,avyaktAnukaraRasya+ataH+itO
nAmreqitasyAntyasya tu vA,na+Amreqitasya+antyasya+tu+vA
tasmAcCaso naH puMsi,tasmAt+SasaH+naH+puMsi
nAdici,na+At+ici
dIrGAjjasi ca,dIrGAt+jasi+ca
samprasAraRAcca,samprasAraRAt+ca
eNaH padAntAdati,eNaH+padAntAt+ati
NasiNasoSca,NasiNasoH+ca
fta ut,ftaH+ut
KyatyAt parasya,KyatyAt+parasya
ato roraplutAdaplute,ataH+roH+aplutAt+aplute
prakftyA'ntaHpAdamavyapare,prakftyA+antaHpAdam+avyapare
yajuzyuraH,yajuzi+uraH
aNga ityAdO ca,aNge+ityAdO+ca
ANo'nunAsikaSCandasi,ANaH+anunAsikaH+Candasi
iko'savarRe SAkalyasya hrasvaSca,ikaH+asavarRe+SAkalyasya+hrasvaH+ca
ftyakaH,fti+akaH
aplutavadupasTite,aplutavat+upasTite
diva ut,divaH+ut
etattadoH sulopo'koranaYsamAse hali,etattadoH+sulopaH+akoH+anaYsamAse+hali
syaSCandasi bahulam,syaH+Candasi+bahulam
so'ci lope cet pAdapUraRam,saH+aci+lope+cet+pAdapUraRam
suw kAt pUrvaH,suw+kAt+pUrvaH
aqaByAsavyavAye'pi,aqaByAsavyavAye+api
upAt pratiyatnavEkftavAkyADyAhArezu,upAt+pratiyatnavEkftavAkyADyAhArezu
hiMsAyAM prateSca,hiMsAyAm+prateH+ca
